商家名称,商家图片,联系人,联系电话,微信号,入驻时长（单位：月）,商家地址,简介
农夫山泉(汶水东路水站),https://poi-pic-gz.cdn.bcebos.com/pic_152a7e2914083b35ff31c406a884b24f.jpeg,95077,95077, ,6,上海市虹口区汶水东路527号, 
桶装水配送水站,https://photo-meituan.cdn.bcebos.com/photo/173329337971452bf82921ece8d569b8b0bddaf5b6,(021)65410869/13641861276,(021)65410869/13641861276, ,6,锦西路32号, 
农夫山泉(万里水站),https://lbsugc.cdn.bcebos.com/images/84c65cc41241a7b3de8e458f0c01eeba_1647.jpeg,15221181091/17274711328,15221181091/17274711328, ,6,上海市普陀区武威东路539-1号, 
农夫山泉(漕河泾服务中心),https://lbsugc.cdn.bcebos.com/images/6488bc7801b3745e44f9a04a52925c37_2851.jpeg,021-64087868/13564731052,021-64087868/13564731052, ,6,钦州北路1014弄, 
水立方水站,https://poi-pic-gz.cdn.bcebos.com/pic_08b9797a1fa919ed8cc81eade9029738.jpeg,15378226618,15378226618, ,6,绵阳市涪城区南湖街板桥第八组, 
蓝山甘露桶装水配送站,https://taojin-his.cdn.bcebos.com/8326cffc1e178a827bfb7881f803738da877e8c8.jpg,(0816)2290608/15181695297,(0816)2290608/15181695297, ,6,四川省绵阳市游仙区沈家坝北街23号, 
茗泉送水,https://poi-pic-gz.cdn.bcebos.com/pic_da8aa6c08d914f8a9ec5837a91663688.jpeg,4226969,4226969, ,6,四川省绵阳市北川羌族自治县白杨街永康14栋, 
沁心源水站,https://poi-pic-gz.cdn.bcebos.com/pic_c56cdb05467e51a3a5761e3da91f6a27.jpeg,18780520114/19982751714,18780520114/19982751714, ,6,四川省绵阳市盐亭县文同路上段21号, 
纯益山泉桶装水,https://poi-pic-gz.cdn.bcebos.com/pic_992ed606b851c66e3456ee4fda1d2829.jpeg,18111487689/19183110110,18111487689/19183110110, ,6,四川省宜宾市兴文县G547, 
甘露滴饮用水,https://poi-pic-gz.cdn.bcebos.com/pic_f1b93c0a3f6f3b51c6b1cd25e01e2af5.jpeg,13158655550,13158655550, ,6,四川省宜宾市翠屏区牌坊路临港西部食品商贸城28幢1层24号, 
宇欣水业,https://poi-pic-gz.cdn.bcebos.com/pic_e6868469f68b76bf4bc959d15a8695ef.jpg,(0831)3952266/15883147679,(0831)3952266/15883147679, ,6,宜宾市珙县兴达街珙县巡场镇第二小学校东北侧约40米, 
雨然兮庆符店,https://poi-pic-gz.cdn.bcebos.com/pic_970e3148d1fd328cac2ed0bec983562c.jpeg,15390344079/19162777459,15390344079/19162777459, ,6,四川省宜宾市高县庆符镇硕勋大道东段, 
农夫山泉送水到府(广都大道旗舰店),https://lbsugc.cdn.bcebos.com/images/5d3a9bd2a266861d9cc20da1969c052a_6074.jpeg,17340207799,17340207799, ,6,四川省成都市双流区广都大道188号, 
源源水站,https://poi-pic-gz.cdn.bcebos.com/pic_41a1a762a95567fabc47f02a50203ed0.jpeg,18381077677,18381077677, ,6,四川省成都市成华区万宇路162号, 
精诚水业(百花店),https://poi-pic-gz.cdn.bcebos.com/pic_ba6abbe2a00bd8018a96c313085b6c4a.jpeg,17313148001/17313148755,17313148001/17313148755, ,6,百花巷34号(省骨科医院地铁站A口步行20米), 
神州送水站,https://taojin-his.cdn.bcebos.com/b64543a98226cffc9e49f8fab7014a90f603ea13.jpg,(028)84590158/13699498498,(028)84590158/13699498498, ,6,四川省成都市锦江区牛沙路15号, 
农夫山泉送水到府(金牛万达旗舰店),https://lbsugc.cdn.bcebos.com/images/B66234617dedd34e6a.jpeg,19940671009,19940671009, ,6,四川省成都市金牛区一环路北3段-4号-附22号, 
农夫山泉送水到府(龙熹魅力之城旗舰店),https://lbsugc.cdn.bcebos.com/images/B64eaa4303a5b612ab9.jpeg,95077,95077, ,6,四川省成都市龙泉驿区惠王陵西路32号, 
玉妃,https://poi-pic-gz.cdn.bcebos.com/pic_214af9f03162c6b052f27ae4505dadb5.jpeg,(0838)3123989,(0838)3123989, ,6,德阳市罗江区潺水路翰林苑, 
罗二娃桶装水经营部,https://poi-pic-gz.cdn.bcebos.com/pic_11356eeaec89d755c524270b3e769b42.jpeg,13198296501,13198296501, ,6,德阳市什邡市富康街明珠电力公司小区北侧, 
厚甜送水(南华大道店),https://poi-pic-gz.cdn.bcebos.com/pic_c56cfeffeec326bf22854e9e6ebcd3e1.jpeg,(0838)7106550/18090018386,(0838)7106550/18090018386, ,6,四川省德阳市中江县南华大道40号, 
蓝剑水连锁(摩配街店),https://poi-pic-gz.cdn.bcebos.com/pic_cf8d6a8ab461238eca51681ba8b0aa70.jpg,(0839)3501295/15183978962,(0839)3501295/15183978962, ,6,四川省广元市利州区天成路29号, 
甘露洁饮用天然泉水,https://taojin-his.cdn.bcebos.com/a71ea8d3fd1f4134299bd973281f95cad1c85e0b.jpg,(0839)5223443,(0839)5223443, ,6,四川省广元市苍溪县红军路中段28号, 
思漠山泉桶装水瓶装水配送中心,https://poi-pic-gz.cdn.bcebos.com/pic_08127f5540cc3c0136e09c6715c1245f.jpeg,18382896003,18382896003, ,6,巴中市巴州区老观桥路附3号附4号门市, 
瀚林泉,https://taojin-his.cdn.bcebos.com/6c224f4a20a44623ad461b669422720e0cf3d722.jpg,(0827)7236108/13350925338,(0827)7236108/13350925338, ,6,四川省巴中市通江县红军北路中段人和家园, 
裕博山泉水,https://poi-pic-gz.cdn.bcebos.com/pic_1f2a17e4ea4d96d21e197194eca0b36a.jpeg,13320615328/18981661834,13320615328/18981661834, ,6,巴中市恩阳区登科路东三巷胜兴苑(登科寺路)南侧约30米, 
天池水业,https://taojin-his.cdn.bcebos.com/c8ea15ce36d3d539269887b03787e950352ab018.jpg,0833-5524323/13350761066,0833-5524323/13350761066, ,6,四川省乐山市峨眉山市佛光南路421号, 
沐川县龙溪水业有限责任公司,https://pic-map.cdn.bcebos.com/img/a029867093b74e67511ef986c8b118b1,(0833)4605544,(0833)4605544, ,6,四川省乐山市沐川县沐溪镇沐源路980号, 
今汇水业,https://taojin-his.cdn.bcebos.com/71cf3bc79f3df8dc34567528c311728b47102824.jpg,(028)38102341,(028)38102341, ,6,四川省眉山市东坡区瑞莲街145号, 
唐氏水业,https://poi-pic-gz.cdn.bcebos.com/pic_82b5abe5564d3e2730d6981cf1fa0fa2.jpeg,13990374635/15884323583,13990374635/15884323583, ,6,眉山市仁寿县富民街方正中学东北侧约120米, 
百年不变水店,https://poi-pic-gz.cdn.bcebos.com/pic_6daee88067f2d138ee2a1774ff116ccb.jpeg,19160752957,19160752957, ,6,四川省眉山市洪雅县新村路62号, 
鸿琴超市桶装水配送中心,https://poi-pic-gz.cdn.bcebos.com/pic_f2d8baa8f226b40e97445fc5b71f6cea.jpeg,13795843890,13795843890, ,6,雅安市名山区府顺街名山区双河乡中心小学北侧约40米, 
恒大桶装水(富州店),https://photo-meituan.cdn.bcebos.com/photo/17107507452213849671c0a61eb58745407cac2192,18990013576,18990013576, ,6,富州大道东段126号, 
必立沿滩送水服务站,https://taojin-his.cdn.bcebos.com/6f061d950a7b020812dda7116ed9f2d3572cc82e.jpg,(0813)3802618,(0813)3802618, ,6,四川省自贡市沿滩区开元中路10-7号, 
乐百氏怡宝娃哈哈,https://taojin-pic-gz.cdn.bcebos.com/bos_gz_deee5e56eb6485b27d2115726c0042bc.jpg,(0826)2340341/(0826)2398239,(0826)2340341/(0826)2398239, ,6,四川省广安市广安区广福街道区农行家属院, 
龙女山泉,https://poi-pic-gz.cdn.bcebos.com/pic_a70e1546a6fc4e800d7ee19105f1845f.jpeg,(0826)6235677/(0826)8350111,(0826)6235677/(0826)8350111, ,6,四川省广安市武胜县太和街162号, 
及时雨连锁配送,https://poi-pic-gz.cdn.bcebos.com/pic_5d461140c27a1f0c2dc18d6faa16fa68.jpeg,(0826)5238864,(0826)5238864, ,6,四川省广安市岳池县九园巷42号, 
华蓥市蓥秀桶装水经营部,https://taojin-his.cdn.bcebos.com/18d8bc3eb13533faf1718801a6d3fd1f40345bdd.jpg,18982615576,18982615576, ,6,四川省广安市华蓥市明光路379号, 
巴松天然矿泉水(直营店),https://poi-pic-gz.cdn.bcebos.com/pic_dad7ca3ba00212ce2de82d06421d61a8.jpeg,(0834)5697365/18228717702,(0834)5697365/18228717702, ,6,凉山彝族自治州会理市高古城路与顺城西路交叉路口往北约200米, 
桶装水超市,https://poi-pic-gz.cdn.bcebos.com/pic_11fadee2578c4ebfa07ee7092d2e8091.jpeg,15281791096/18990809579,15281791096/18990809579, ,6,四川省南充市西充县晋城大道五段9-11号, 
怡宝桶装水,https://poi-pic-gz.cdn.bcebos.com/pic_c4920b647d801e0ce6dd375f0bcb12ef.jpg,0817-3633010/13350274727,0817-3633010/13350274727, ,6,四川省南充市嘉陵区南虹路四段107号, 
鑫旺生活服务配送中心(原营山怡宝水业),https://poi-pic-gz.cdn.bcebos.com/pic_dce3d718fcc22c4e98052d8853031e81.jpeg,(0817)8238383/15881728205,(0817)8238383/15881728205, ,6,东城社区横通街29.31号, 
泓霖送水站,https://taojin-his.cdn.bcebos.com/f3d3572c11dfa9ec1ee2eb1a6fd0f703908fc1eb.jpg,(0817)3331438,(0817)3331438, ,6,四川省南充市高坪区鹤鸣东路105号, 
天然桶装水,https://poi-pic-gz.cdn.bcebos.com/pic_2c746a455aa2e05878b863333495a3de.jpeg,17716432987,17716432987, ,6,南充市南部县晓霞路森态丽景天城, 
娃哈哈桶装水(泸县总店),https://poi-pic-gz.cdn.bcebos.com/pic_609df48e01b8ab4e519d33ea24dd3c11.jpg,17381747633,17381747633, ,6,泸州市泸县蓝山郡后大门怡文街27号, 
清源水业桶装水配送中心,https://lbsugc.cdn.bcebos.com/images/081e785dddbff447c53fb94e67a0d7f2_0933.jpeg,18783002769,18783002769, ,6,泸州市江阳区江景南路佳兴茗苑安置房小区, 
云鹤山泉纯净水,https://photo-meituan.cdn.bcebos.com/photo/1732777255b52f7e1a86c8b33f63b20556ad242e2d,(0818)5230523,(0818)5230523, ,6,东乡镇多宝寺路69号, 
欣超然桶装水,https://poi-pic-gz.cdn.bcebos.com/pic_6d56f303ee8c14bbe0aabbe42923613d.jpeg,18781838123/18828668123,18781838123/18828668123, ,6,达州市通川区宝善街中迪广场, 
龙嘴山泉,https://poi-pic-gz.cdn.bcebos.com/pic_72f8f6991f5b43916b5249b2e99a7c70.jpeg,(0818)8181300,(0818)8181300, ,6,四川省达州市开江县新宁镇文化街46号, 
渠县怡宝桶装水总代理,https://poi-pic-gz.cdn.bcebos.com/pic_a3f80e2e0692bb4eee65c9af4dec568f.jpeg,(0818)7778085/18080697581,(0818)7778085/18080697581, ,6,四川省达州市渠县紫天乐康养户院对面博越广告门市7-1-9号, 
怡宝(新华街店),https://poi-pic-gz.cdn.bcebos.com/pic_2006ae82877d4e5a0cdd1c9255dc6d8c.jpeg,(0832)3911519,(0832)3911519, ,6,四川省内江市隆昌市大南街168号, 
甘露水站,https://poi-pic-gz.cdn.bcebos.com/pic_f28dd95651e16342a4e7fd545326c30d.jpeg,18661000179,18661000179, ,6,四川省内江市资中县凤凰大道新发地13栋27号, 
源源水业,https://poi-pic-gz.cdn.bcebos.com/pic_50cff6c9b3af403e48e31817dedcdb1e.jpeg,19980201019,19980201019, ,6,四川省内江市东兴区东兴街道新观街433号, 
龙洞子纯净水,https://poi-pic-gz.cdn.bcebos.com/pic_be6f2b2c62f64d0203b1e72140afe7c2.jpeg,(0825)6612777/18982565918,(0825)6612777/18982565918, ,6,遂宁市射洪市明珠路明珠城北小区, 
怡宝桶装水(遂宁送水嘉禾店),https://poi-pic-gz.cdn.bcebos.com/pic_d50c07fafd95ee0e9f81b99a2172aef5.jpeg,(0825)8885222/15309062964,(0825)8885222/15309062964, ,6,四川省遂宁市船山区嘉禾西路114号, 
冯店井水矿泉,https://poi-pic-gz.cdn.bcebos.com/pic_d9f3395e9127639aa3b6386ca200cd7a.jpeg,13372785549,13372785549, ,6,四川省遂宁市大英县盐桥街142号, 
恒大天然泉水,https://poi-pic-gz.cdn.bcebos.com/pic_127c4c33b187b94667c692428f52de10.jpeg,(0825)8666315/18090810093,(0825)8666315/18090810093, ,6,遂宁市安居区兴旺街翡翠绿洲, 
迷易山泉销售中心,https://poi-pic-gz.cdn.bcebos.com/pic_819b23db2419e9ec98e2862e1d7a74fc.jpeg,(0812)8102999/(0812)8173456,(0812)8102999/(0812)8173456, ,6,四川省攀枝花市米易县向阳路20号, 
乐百氏水便利(建设街店),https://poi-pic-gz.cdn.bcebos.com/pic_b8c4da0d332d0483659de2591ae639f7.jpeg,(028)23322554/15908314558,(028)23322554/15908314558, ,6,资阳市乐至县建设街中泰苑(乐中路)东侧约30米, 
长春市宽城区王磊矿泉水经销处,https://poi-pic.cdn.bcebos.com/fb8b9810872c955f696a00747223c5fe.jpg,(0431)82760106/(0431)82760107/13943175676,(0431)82760106/(0431)82760107/13943175676, ,6,松江路480号, 
众仁水站,https://poi-pic-gz.cdn.bcebos.com/pic_7ee8cb7f42d03ffe987ed0c8e60c5148.jpeg,15943104717,15943104717, ,6,吉林省长春市绿园区春草路南一胡同164-1号, 
泓源顺流桶装水,https://taojin-his.cdn.bcebos.com/023b5bb5c9ea15ce55ed3879be003af33a87b2bb.jpg,(0436)3218778/(0436)3672999,(0436)3218778/(0436)3672999, ,6,吉林省白城市洮北区幸福南大街58号, 
吉鹤泉纯净水,https://poi-pic-gz.cdn.bcebos.com/pic_602010187a71335d4ae8bda05e1f8063.jpeg,18943460111,18943460111, ,6,白城市镇赉县华城南街惠民家苑, 
松鹤纯净水,https://taojin-his.cdn.bcebos.com/b812c8fcc3cec3fd66c6b9cfd088d43f8694278b.jpg,15886152782,15886152782, ,6,吉林省白城市大安市慧阳街鸿翔小区3号楼, 
磐石市周洲桶装水配送中心,https://poi-pic-gz.cdn.bcebos.com/pic_7de7fb4de8f2707bbc16a15c15b9d5b0.jpeg,(0432)66666337/(0432)66666887,(0432)66666337/(0432)66666887, ,6,吉林省吉林市磐石市人民路1080号, 
泉阳泉(桦甸总经销),https://taojin-his.cdn.bcebos.com/faf2b2119313b07edabd2db302d7912397dd8c0c.jpg,(0432)66277139,(0432)66277139, ,6,吉林省吉林市桦甸市三辅街林业小区6号楼, 
帽尔山桶装水经销部,https://poi-pic-gz.cdn.bcebos.com/pic_d00f371a734e1e265ae5af112414079d.jpeg,0433-3230222,0433-3230222, ,6,吉林省延边朝鲜族自治州龙井市建设街1359号(天宇小区), 
和龙市清水冰泉饮用水经销处,https://poi-pic-gz.cdn.bcebos.com/pic_ff125d3838f6cec0094ce0b512f29895.jpeg,4237477,4237477, ,6,延边朝鲜族自治州和龙市和龙街水岸花城东北侧约100米, 
梦源天然泉桶装水(启泰路店),https://taojin-his.cdn.bcebos.com/48540923dd54564ecfb1eae7b8de9c82d0584f13.jpg,(0435)5095666,(0435)5095666, ,6,吉林省通化市梅河口市启泰路190号, 
安吉尔农夫山泉,https://poi-pic-gz.cdn.bcebos.com/pic_84f159c61d9310c0885eea0a0663d67e.jpeg,(0435)8232916,(0435)8232916, ,6,通化市辉南县爱国路辉南县广播电视大学西南侧约120米, 
泉阳泉桶装矿泉水经销处,https://poi-pic-gz.cdn.bcebos.com/pic_bd951029fa32ff93d4542893f21ce7b7.jpeg,(0435)7565556/(0435)7585558,(0435)7565556/(0435)7585558, ,6,通化市柳河县前进路南山花园小区, 
龙爱饮用水经销处,https://poi-pic-gz.cdn.bcebos.com/pic_1fc8fadb56f23cfa60723d47374b1231.jpeg,(0438)2345678/13304385123,(0438)2345678/13304385123, ,6,松原市前郭尔罗斯蒙古族自治县松原大路前郭尔罗斯蒙古族中学东侧, 
龙饮纯净水,https://poi-pic-gz.cdn.bcebos.com/pic_015d2a68b9ce6448732171e1b587da72.jpeg,(0438)7803710/15981440606,(0438)7803710/15981440606, ,6,松原市长岭县G231阳光花园东北侧约120米, 
林海雪原,https://poi-pic-gz.cdn.bcebos.com/pic_57d5c9acdae5e2f1eda91e2b6d8dcb71.jpeg,(0438)5552499/13154381197,(0438)5552499/13154381197, ,6,松原市扶余市S514九洲装潢东南侧约50米, 
清源水站,https://poi-pic-gz.cdn.bcebos.com/pic_88a8612828897e0693604aa5d79836b4.jpeg,(0434)7288883,(0434)7288883, ,6,四平市双辽市郑家屯大街双辽市第三中学东侧约30米, 
文文祥源水暖,https://poi-pic-gz.cdn.bcebos.com/pic_5d4f47c90242073754f08933cb6ec73e.jpeg,13843913623,13843913623, ,6,白山市浑江区育文路兴达花园, 
安心水站,https://lbsugc.cdn.bcebos.com/images/fbb628daf8dd5a879f6f040b4867bb83_1565.jpeg,13366711245/13520352722,13366711245/13520352722, ,6,北京市延庆区润川路, 
小堡阿强水站,https://poi-pic-gz.cdn.bcebos.com/pic_8e624fb81896094905d6d96b1bd42b26.jpeg,18500333951/18701405772/18701405773,18500333951/18701405772/18701405773, ,6,北京市通州区徐宋路宋都酒店东侧约50米, 
大宝酒水饮料大桶水,https://poi-pic-gz.cdn.bcebos.com/pic_156e72ead86a78757b5364a9fe9382ca.jpeg,13910197589,13910197589, ,6,北京市平谷区平谷大街北京中医医院平谷医院北侧约100米, 
杨静水站,https://taojin-his.cdn.bcebos.com/9358d109b3de9c8201b31cd06b81800a18d8439f.jpg,13641183381/13718673646,13641183381/13718673646, ,6,北京市大兴区黄村镇狼垡一村一条1号, 
桶装水水站,https://lbsugc.cdn.bcebos.com/images/b1991a825b33f204ea7ecc0ac1d13de8_6802.jpeg,13366950090/13718926857/15201256268,13366950090/13718926857/15201256268, ,6,北京市东城区葱店西街8号, 
天露源水站,https://taojin-his.cdn.bcebos.com/738b4710b912c8fc107a24eff3039245d6882103.jpg,(010)89339038,(010)89339038, ,6,北京市房山区城关街道永安路2号楼14号, 
新晶晶亮丽水站,https://taojin-his.cdn.bcebos.com/e824b899a9014c086012197b067b02087af4f4c6.jpg,13121966151,13121966151, ,6,北京市昌平区鼓楼南大街39号, 
洪都水店,https://poi-pic-gz.cdn.bcebos.com/pic_a61f22ca2518d48661e676701e07da35.jpg,15010796775/15011168227/15810985148,15010796775/15011168227/15810985148, ,6,石门市场西163号, 
润泽水店,https://poi-pic-gz.cdn.bcebos.com/pic_e56ad98b62d0eb038e017dafebc6d6a2.jpeg,17301209823,17301209823, ,6,北京市西城区新兴东巷甲15号, 
农夫山泉(丰台大桥南街店),https://lbsugc.cdn.bcebos.com/images/B64ae7e02e92299a52.jpeg,13240019333,13240019333, ,6,北京市丰台区丰台桥南街南首, 
聚淼堂水站,https://photo-meituan.cdn.bcebos.com/photo/1708500893b1b6b31c8e99f14983b0159337f9c758,18911000408,18911000408, ,6,永定翡翠长安, 
小曼水店(桶装水配送),https://photo-meituan.cdn.bcebos.com/photo/1738914710697b179ff575325966ee1622e1fda45b,(010)68840452,(010)68840452, ,6,八角路9号楼西侧底商, 
蓝冠水站桶装水,https://photo-meituan.cdn.bcebos.com/photo/17411717651067071742d7cfbfcc672eaa7b050e19,13002273405,13002273405, ,6,闸桥北路金联公寓17门底商, 
恒源水业配送(集贤店),https://photo-meituan.cdn.bcebos.com/photo/16980449999c646445d00085c4b2cc7515e8d1d75f,(022)86813787,(022)86813787, ,6,集贤道38号, 
百泉水站,https://photo-meituan.cdn.bcebos.com/photo/173658157315b5d073ef0917a8d0faa993e994cca3,13820098929,13820098929, ,6,万辛庄三马路万顺里3-4-101, 
福进门水站,https://poi-pic-gz.cdn.bcebos.com/pic_939e5da22961247592568ae42d5c5a50.jpeg,18222479881,18222479881, ,6,天津市河北区杜鹃道梅宏园-北区北侧, 
冰之源水站,https://taojin-his.cdn.bcebos.com/1ad5ad6eddc451da69f1db7ab8fd5266d0163218.jpg,(022)29226852/13752061681,(022)29226852/13752061681, ,6,天津市宝坻区建设路中保住宅楼西南侧, 
圣迪森桶装水,https://poi-pic-gz.cdn.bcebos.com/pic_fe42f969cabf68e4c3317639a2a22c02.jpeg,15122039828/15222628027,15122039828/15222628027, ,6,天津市蓟州区武定西街彤昕幼儿园西北侧, 
高洪英水站,https://taojin-his.cdn.bcebos.com/b8014a90f603738de3de89fcbf1bb051f919ec5c.jpg,15222632924,15222632924, ,6,天津市南开区宁福里小区内, 
恒大水站,https://photo-meituan.cdn.bcebos.com/photo/173375979501463314b5bb08176611f32621b613a4,13311531001,13311531001, ,6,悦光年21号楼8号底商, 
来福水站,https://lbsugc.cdn.bcebos.com/images/B656e852eefee1fb66.jpeg,15202206678,15202206678, ,6,天津市河西区陈塘庄街道微山路2号增1号, 
雅华桶装水配送水站(锦江道店),https://taojin-his.cdn.bcebos.com/bf096b63f6246b608a073461e4f81a4c510fa29e.jpg,(022)27304319,(022)27304319, ,6,河北路鸿记里5-11幢6门108-111室, 
佳源水站桶装水配送中心,https://taojin-his.cdn.bcebos.com/4b90f603738da97763691236bc51f8198618e36d.jpg,(022)60955309/13132183393,(022)60955309/13132183393, ,6,新科道碧水家园A区14-1-101（靠近泊寓新科道店）, 
汇源矿物质水,https://photo-meituan.cdn.bcebos.com/photo/1705042924b069c6325ec2d257e6f8c4df14d9cd2e,(022)28916114,(022)28916114, ,6,地纬路三中百业超市对过, 
浩洋水站,https://poi-pic-gz.cdn.bcebos.com/pic_fe5b93f656eaee452de5dd9a57abd54f.jpeg,15602038061,15602038061, ,6,天津市宁河区G112(山深线), 
丽湖水站,https://pic-map.cdn.bcebos.com/img/7b14360bbc605453d416cb22279cd2a9,13820557577,13820557577, ,6,西大街东丽湖万科城邻水苑18号楼3门102, 
泗泉鑫聚水站(双港店),https://poi-pic-gz.cdn.bcebos.com/pic_7ff29d10c2bf42cde7baf72473b96b12.jpg,18526196789,18526196789, ,6,天津市津南区双港镇福港园8号楼正东方向70米, 
沁泉纯净水直销,https://poi-pic-gz.cdn.bcebos.com/pic_d0314a0f38302196a2d1508cad3a8651.jpeg,18209564445,18209564445, ,6,宁夏回族自治区石嘴山市惠农区新建路186号, 
贺兰雪桶装水配送(同心县豫海万家店),https://poi-pic-gz.cdn.bcebos.com/pic_88267b070efe27124e8a3d73c75dd474.jpeg,17341243666,17341243666, ,6,宁夏回族自治区吴忠市同心县罗山路同心县人民医院西北侧约120米, 
老山泉纯净水,https://poi-pic-gz.cdn.bcebos.com/pic_adee0f9521cf14590c53449212d474e5.jpg,13995353753,13995353753, ,6,吴忠市盐池县体育北路家和园东北侧约60米, 
塞外雪饮用水直销部,https://poi-pic-gz.cdn.bcebos.com/pic_8e882e90de43b5c08857f9092d2e2822.jpeg,(0953)3051256/(0953)3051257/13619559878/17695077422,(0953)3051256/(0953)3051257/13619559878/17695077422, ,6,吴忠市青铜峡市永庆路紫薇社区西北侧约40米, 
贺兰雪山泉水,https://poi-pic-gz.cdn.bcebos.com/pic_f30586a19bacdef83c8ec933f6a6ffa8.jpeg,18309667966,18309667966, ,6,宁夏回族自治区吴忠市利通区双拥路116号, 
贺兰雪桶装水(西夏水站),https://poi-pic-gz.cdn.bcebos.com/pic_b72301fd60a24822cd985877c5be99a1.jpeg,(0951)4086888/18195224507,(0951)4086888/18195224507, ,6,宁夏回族自治区银川市西夏区怀远东路, 
桶装水服务部,https://lbsugc.cdn.bcebos.com/images/B64caf67a92f29aa5d.jpeg,18709670335,18709670335, ,6,银川市贺兰县民乐巷天骏森林海, 
贺兰雪天然泉水(望远供水站),https://poi-pic.cdn.bcebos.com/79b155f20cf3bf97a81dfbcd26a0e4c8.jpg,(0951)8438377/18209501998,(0951)8438377/18209501998, ,6,宁夏回族自治区银川市永宁县望远镇红旗社区中心街桃香名邸, 
龙泉纯净水销售中心,https://poi-pic-gz.cdn.bcebos.com/pic_ab185eb9c47a5ac7705f5908451defd8.jpeg,(0955)7027998,(0955)7027998, ,6,宁夏回族自治区中卫市沙坡头区长城东街79号, 
鸣沙源饮用水配送中心,https://poi-pic-gz.cdn.bcebos.com/pic_6f3fa63a28350a1c76e6c79930894bb1.jpeg,15121896181,15121896181, ,6,中卫市中宁县育才路枸杞花园-东园, 
康美源水站,https://poi-pic-gz.cdn.bcebos.com/pic_786f88c24c83031b01f8b67061ef8a4e.jpeg,17755812356,17755812356, ,6,阜阳市安徽省临泉县教育西路万客来童装城4号楼旁, 
彩蝶湖桶装水,https://poi-pic-gz.cdn.bcebos.com/pic_2a39135b054218359039e83bacfd19ef.jpg,13865583133,13865583133, ,6,阜阳市颍州区颍上南路天瑞山庄南侧约160米, 
袁庄水业客户服务中心,https://poi-pic-gz.cdn.bcebos.com/pic_02e8b4d518835200823415e033d79ccc.jpeg,(0554)4977567,(0554)4977567, ,6,安徽省淮南市潘集区珠江路水务大厦1号楼1-102, 
新区桶(瓶)装水批发零售,https://poi-pic-gz.cdn.bcebos.com/pic_0b4bc0a8e083fe909a5a30078b5d8864.jpeg,19856933777,19856933777, ,6,滁州市来安县文安路汊河新区公租房西侧约170米, 
凤阳桶装水配送点,https://poi-pic-gz.cdn.bcebos.com/pic_d1db73345c9f0492e7ab8bd343fe9277.jpeg,18155096766,18155096766, ,6,安徽省滁州市凤阳县东环路141号, 
润发纯净水总汇,https://poi-pic-gz.cdn.bcebos.com/pic_2a9ba11012463e9671af3f76b8705b30.jpeg,18905508082,18905508082, ,6,滁州市琅琊区凤凰西路凤凰花园东南侧约50米, 
安徽华荣山泉饮品公司九川桶装水望江经销站,https://lbsugc.cdn.bcebos.com/images/B65dab497127db178b4.jpeg,18855690745,18855690745, ,6,安庆市望江县奎文路怡和苑, 
兹韵桶装水,https://lbsugc.cdn.bcebos.com/images/B642505f49bfb7ee2d.jpeg,15755684660,15755684660, ,6,安徽省安庆市宿松县孚玉中路360号(林业局西隔壁), 
